Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2011-12,ACT,Other services,Administration,Australian Government,Premium rebates,"7,024,229.20","9,110,116.42"
2011-12,ACT,Other services,Administration,Non-government,Health insurance funds,"13,664,076.30","17,721,706.18"
2011-12,ACT,Other services,Administration,State and local government,State and local government,"529,000.00","649,659.81"
2011-12,ACT,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,163.59,187.41
2011-12,ACT,Other services,Aids and appliances,Australian Government,DoHAC and other,"6,257,092.40","7,679,794.97"
2011-12,ACT,Other services,Aids and appliances,Australian Government,Premium rebates,"3,765,192.74","4,313,547.39"
2011-12,ACT,Other services,Aids and appliances,Non-government,Health insurance funds,"7,324,345.40","8,391,047.47"
2011-12,ACT,Other services,Aids and appliances,Non-government,Individuals,"21,537,084.87","24,673,700.04"
2011-12,ACT,Other services,Aids and appliances,Non-government,Other source of funds,"1,470,907.99","1,685,127.90"
2011-12,ACT,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,0.00,0.00
2011-12,ACT,Other services,Patient transport services,Australian Government,DoHAC and other,0.00,0.00
2011-12,ACT,Other services,Patient transport services,Australian Government,Premium rebates,"6,156,143.02","7,560,300.03"
2011-12,ACT,Other services,Patient transport services,Non-government,Health insurance funds,"11,975,407.63","14,706,882.93"
2011-12,ACT,Other services,Patient transport services,Non-government,Individuals,0.00,0.00
2011-12,ACT,Other services,Patient transport services,Non-government,Other source of funds,"1,192,190.65","1,464,117.87"
2011-12,ACT,Other services,Patient transport services,State and local government,State and local government,"17,485,923.37","21,450,683.00"
2011-12,ACT,Primary health care,All other medications,Australian Government,DoHAC and other,"7,132,312.58","8,240,107.79"
2011-12,ACT,Primary health care,All other medications,Australian Government,Premium rebates,"469,414.54","512,986.36"
2011-12,ACT,Primary health care,All other medications,Non-government,Health insurance funds,"913,141.64","997,900.92"
2011-12,ACT,Primary health care,All other medications,Non-government,Individuals,"76,744,326.63","83,867,859.52"
2011-12,ACT,Primary health care,All other medications,Non-government,Other source of funds,"1,119,838.65","1,223,783.89"
2011-12,ACT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"7,733,109.39","8,979,088.10"
2011-12,ACT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"98,743,090.25","114,683,999.37"
2011-12,ACT,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"23,988,080.33","27,853,102.26"
2011-12,ACT,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,0.00,0.00
2011-12,ACT,Primary health care,Community health and other,Australian Government,DoHAC and other,"13,575,172.33","16,611,703.19"
2011-12,ACT,Primary health care,Community health and other,Australian Government,Premium rebates,"3,404.68","4,415.72"
2011-12,ACT,Primary health care,Community health and other,Non-government,Health insurance funds,"6,623.04","8,589.80"
2011-12,ACT,Primary health care,Community health and other,Non-government,Other source of funds,"148,279.42","192,311.89"
2011-12,ACT,Primary health care,Community health and other,State and local government,State and local government,"155,871,696.77","191,317,375.02"
2011-12,ACT,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"5,726,617.65","6,411,570.35"
2011-12,ACT,Primary health care,Dental services,Australian Government,DoHAC and other,"5,966,825.03","6,716,471.03"
2011-12,ACT,Primary health care,Dental services,Australian Government,Premium rebates,"10,794,071.01","12,085,134.70"
2011-12,ACT,Primary health care,Dental services,Non-government,Health insurance funds,"20,997,465.44","23,508,942.83"
2011-12,ACT,Primary health care,Dental services,Non-government,Individuals,"102,628,366.63","114,903,601.60"
2011-12,ACT,Primary health care,Dental services,Non-government,Other source of funds,"362,807.84","406,202.78"
2011-12,ACT,Primary health care,Dental services,State and local government,State and local government,"10,905,326.85","13,391,250.42"
2011-12,ACT,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"18,752,192.25","25,092,897.89"
2011-12,ACT,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"14,522,343.25","19,205,486.17"
2011-12,ACT,Primary health care,Other health practitioners,Australian Government,Premium rebates,"4,224,117.89","5,652,424.92"
2011-12,ACT,Primary health care,Other health practitioners,Non-government,Health insurance funds,"8,217,082.26","10,995,536.06"
2011-12,ACT,Primary health care,Other health practitioners,Non-government,Individuals,"47,562,281.97","63,644,584.53"
2011-12,ACT,Primary health care,Other health practitioners,Non-government,Other source of funds,"9,647,269.23","12,909,314.20"
2011-12,ACT,Primary health care,Other health practitioners,State and local government,State and local government,"1,748,000.00","2,146,701.99"
2011-12,ACT,Primary health care,Public health,Australian Government,DoHAC and other,"26,231,558.44","32,214,724.62"
2011-12,ACT,Primary health care,Public health,Non-government,Other source of funds,0.00,0.00
2011-12,ACT,Primary health care,Public health,State and local government,State and local government,"27,638,886.78","34,040,962.84"
2011-12,ACT,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"12,156,046.13","14,039,946.72"
2011-12,ACT,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"114,425,077.91","135,519,814.30"
2011-12,ACT,Primary health care,Unreferred medical services,Non-government,Individuals,"25,111,060.42","29,002,682.85"
2011-12,ACT,Primary health care,Unreferred medical services,Non-government,Other source of funds,"9,468,178.32","10,935,522.77"
2011-12,ACT,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"34,451,909.32","39,791,143.13"
2011-12,ACT,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"129,716,695.82","149,819,725.87"
2011-12,ACT,Referred medical services,Referred medical services,Australian Government,Premium rebates,"5,775,170.76","6,670,186.09"
2011-12,ACT,Referred medical services,Referred medical services,Non-government,Health insurance funds,"11,234,310.80","12,975,364.15"
2011-12,ACT,Referred medical services,Referred medical services,Non-government,Individuals,"58,405,743.02","67,457,256.39"
2011-12,ACT,Research,Research,Australian Government,Department of Veterans' Affairs,"1,687,000.00","2,187,964.83"
2011-12,ACT,Research,Research,Australian Government,DoHAC and other,"118,632,092.99","153,515,670.89"
2011-12,ACT,Research,Research,Non-government,Individuals,0.00,0.00
2011-12,ACT,Research,Research,Non-government,Other source of funds,"4,539,709.54","5,887,413.24"
2011-12,ACT,Research,Research,State and local government,State and local government,"9,977,522.28","12,327,928.05"
2011-12,NSW,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"65,427,620.71","71,618,604.26"
2011-12,NSW,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"1,430,214,587.00","1,853,321,036.51"
2011-12,NSW,Capital expenditure,Capital expenditure,State and local government,State and local government,"765,000,000.00","921,790,636.24"
2011-12,NSW,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"235,663,046.00","295,752,002.16"
2011-12,NSW,Hospitals,Private hospitals,Australian Government,DoHAC and other,"79,177,836.36","99,332,610.62"
2011-12,NSW,Hospitals,Private hospitals,Australian Government,Premium rebates,"818,408,356.63","1,027,084,704.91"
2011-12,NSW,Hospitals,Private hospitals,Non-government,Health insurance funds,"1,592,102,561.75","1,998,054,121.24"
2011-12,NSW,Hospitals,Private hospitals,Non-government,Individuals,"233,236,278.33","292,706,461.47"
2011-12,NSW,Hospitals,Private hospitals,Non-government,Other source of funds,"240,191,640.49","301,469,143.45"
2011-12,NSW,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"407,435,327.90","511,322,483.62"
2011-12,NSW,Hospitals,Public hospital services,Australian Government,DoHAC and other,"4,754,282,245.27","5,966,179,297.65"
2011-12,NSW,Hospitals,Public hospital services,Australian Government,Premium rebates,"152,351,665.87","191,198,030.32"
2011-12,NSW,Hospitals,Public hospital services,Non-government,Health insurance funds,"296,379,521.98","371,949,860.25"
2011-12,NSW,Hospitals,Public hospital services,Non-government,Individuals,"242,130,000.00","303,867,888.91"
2011-12,NSW,Hospitals,Public hospital services,Non-government,Other source of funds,"685,419,185.50","860,186,184.78"
2011-12,NSW,Hospitals,Public hospital services,State and local government,State and local government,"6,949,263,341.23","8,724,076,800.43"
2011-12,NSW,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"206,375,569.80","265,138,223.54"
2011-12,NSW,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-206,375,569.80","-265,138,223.54"
2011-12,NSW,Other services,Administration,Australian Government,DoHAC and other,"508,348,199.28","648,312,765.12"
2011-12,NSW,Other services,Administration,Australian Government,Premium rebates,"163,780,372.58","210,414,619.71"
2011-12,NSW,Other services,Administration,Non-government,Health insurance funds,"318,598,303.72","409,314,863.92"
2011-12,NSW,Other services,Administration,Non-government,Other source of funds,"1,913,041.08","2,400,824.99"
2011-12,NSW,Other services,Administration,State and local government,State and local government,"9,179,617.50","11,520,220.51"
2011-12,NSW,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"1,142,410.15","1,308,788.33"
2011-12,NSW,Other services,Aids and appliances,Australian Government,DoHAC and other,"139,683,047.36","175,278,110.14"
2011-12,NSW,Other services,Aids and appliances,Australian Government,Premium rebates,"80,713,314.32","92,468,229.52"
2011-12,NSW,Other services,Aids and appliances,Non-government,Health insurance funds,"157,009,809.08","179,876,383.27"
2011-12,NSW,Other services,Aids and appliances,Non-government,Individuals,"479,081,641.77","548,854,071.73"
2011-12,NSW,Other services,Aids and appliances,Non-government,Other source of funds,"5,285,394.83","6,055,148.47"
2011-12,NSW,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"78,459,000.00","98,464,340.22"
2011-12,NSW,Other services,Patient transport services,Australian Government,DoHAC and other,"4,173,994.28","5,238,272.13"
2011-12,NSW,Other services,Patient transport services,Australian Government,Premium rebates,"53,990,489.54","67,756,891.25"
2011-12,NSW,Other services,Patient transport services,Non-government,Health insurance funds,"105,026,494.40","131,805,968.42"
2011-12,NSW,Other services,Patient transport services,Non-government,Individuals,"77,812,000.00","97,652,369.27"
2011-12,NSW,Other services,Patient transport services,Non-government,Other source of funds,"36,168,481.94","45,390,658.95"
2011-12,NSW,Other services,Patient transport services,State and local government,State and local government,"512,810,954.34","643,611,219.56"
2011-12,NSW,Primary health care,All other medications,Australian Government,DoHAC and other,"169,355,332.37","210,095,206.40"
2011-12,NSW,Primary health care,All other medications,Australian Government,Premium rebates,"9,484,031.54","10,289,352.49"
2011-12,NSW,Primary health care,All other medications,Non-government,Health insurance funds,"18,449,074.91","20,015,647.77"
2011-12,NSW,Primary health care,All other medications,Non-government,Individuals,"2,629,640,875.68","2,852,932,506.75"
2011-12,NSW,Primary health care,All other medications,Non-government,Other source of funds,"10,702,242.87","11,611,006.23"
2011-12,NSW,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"164,248,805.90","190,713,000.92"
2011-12,NSW,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"2,738,666,513.31","3,180,890,143.86"
2011-12,NSW,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"515,223,691.03","598,237,872.85"
2011-12,NSW,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"469,352.40","602,994.15"
2011-12,NSW,Primary health care,Community health and other,Australian Government,DoHAC and other,"266,826,509.35","334,579,936.53"
2011-12,NSW,Primary health care,Community health and other,Australian Government,Premium rebates,"172,936.33","222,177.61"
2011-12,NSW,Primary health care,Community health and other,Non-government,Health insurance funds,"336,409.18","432,197.15"
2011-12,NSW,Primary health care,Community health and other,Non-government,Individuals,"35,152,251.06","44,115,311.28"
2011-12,NSW,Primary health care,Community health and other,Non-government,Other source of funds,"102,706,333.25","128,896,762.09"
2011-12,NSW,Primary health care,Community health and other,State and local government,State and local government,"1,521,479,455.92","1,909,521,859.62"
2011-12,NSW,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"32,327,191.17","36,193,801.16"
2011-12,NSW,Primary health care,Dental services,Australian Government,DoHAC and other,"461,905,161.03","521,185,749.62"
2011-12,NSW,Primary health care,Dental services,Australian Government,Premium rebates,"190,975,939.89","213,818,304.17"
2011-12,NSW,Primary health care,Dental services,Non-government,Health insurance funds,"371,501,234.01","415,935,975.50"
2011-12,NSW,Primary health care,Dental services,Non-government,Individuals,"1,304,828,242.96","1,460,921,378.43"
2011-12,NSW,Primary health care,Dental services,Non-government,Other source of funds,"6,511,428.90","7,893,404.30"
2011-12,NSW,Primary health care,Dental services,State and local government,State and local government,"189,701,072.04","238,082,889.50"
2011-12,NSW,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"68,611,740.90","91,811,527.17"
2011-12,NSW,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"355,068,432.50","470,527,380.78"
2011-12,NSW,Primary health care,Other health practitioners,Australian Government,Premium rebates,"95,322,878.78","127,554,540.38"
2011-12,NSW,Primary health care,Other health practitioners,Non-government,Health insurance funds,"185,429,468.82","248,129,000.84"
2011-12,NSW,Primary health care,Other health practitioners,Non-government,Individuals,"674,109,455.60","902,047,051.84"
2011-12,NSW,Primary health care,Other health practitioners,Non-government,Other source of funds,"119,133,619.82","159,416,441.41"
2011-12,NSW,Primary health care,Public health,Australian Government,DoHAC and other,"456,171,680.96","572,485,547.75"
2011-12,NSW,Primary health care,Public health,Non-government,Other source of funds,"44,776,873.48","56,194,003.29"
2011-12,NSW,Primary health care,Public health,State and local government,State and local government,"109,892,805.20","137,935,931.51"
2011-12,NSW,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"42,366,585.05","51,711,451.43"
2011-12,NSW,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"2,302,896,402.23","2,822,429,183.55"
2011-12,NSW,Primary health care,Unreferred medical services,Non-government,Individuals,"159,658,791.00","194,874,989.47"
2011-12,NSW,Primary health care,Unreferred medical services,Non-government,Other source of funds,"539,010,000.60","657,900,310.61"
2011-12,NSW,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"168,447,903.46","205,602,730.72"
2011-12,NSW,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"3,660,622,912.00","4,468,052,444.56"
2011-12,NSW,Referred medical services,Referred medical services,Australian Government,Premium rebates,"165,470,192.74","201,968,221.52"
2011-12,NSW,Referred medical services,Referred medical services,Non-government,Health insurance funds,"321,885,473.26","392,884,274.13"
2011-12,NSW,Referred medical services,Referred medical services,Non-government,Individuals,"916,830,960.00","1,119,057,851.78"
2011-12,NSW,Research,Research,Australian Government,DoHAC and other,"1,019,234,361.76","1,308,406,654.14"
2011-12,NSW,Research,Research,Non-government,Individuals,0.00,0.00
2011-12,NSW,Research,Research,Non-government,Other source of funds,"94,397,863.12","120,952,370.19"
2011-12,NSW,Research,Research,State and local government,State and local government,"82,185,793.49","104,020,641.45"
2011-12,NT,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"15,489,931.39","15,770,306.43"
2011-12,NT,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"31,385,466.07","39,222,869.42"
2011-12,NT,Capital expenditure,Capital expenditure,State and local government,State and local government,"119,000,000.00","139,622,454.53"
2011-12,NT,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"1,713,196.25","2,186,104.83"
2011-12,NT,Hospitals,Private hospitals,Australian Government,DoHAC and other,"362,793.52","450,046.40"
2011-12,NT,Hospitals,Private hospitals,Australian Government,Premium rebates,"11,620,374.00","14,828,047.68"
2011-12,NT,Hospitals,Private hospitals,Non-government,Health insurance funds,"22,605,863.03","28,845,957.54"
2011-12,NT,Hospitals,Private hospitals,Non-government,Individuals,"26,861,187.20","34,275,916.13"
2011-12,NT,Hospitals,Private hospitals,Non-government,Other source of funds,"5,500,207.06","7,027,408.31"
2011-12,NT,Hospitals,Private hospitals,State and local government,State and local government,"1,025,747.06","1,308,893.01"
2011-12,NT,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"1,693,584.26","2,161,079.17"
2011-12,NT,Hospitals,Public hospital services,Australian Government,DoHAC and other,"199,580,647.24","254,542,547.12"
2011-12,NT,Hospitals,Public hospital services,Australian Government,Premium rebates,"516,243.41","658,746.60"
2011-12,NT,Hospitals,Public hospital services,Non-government,Health insurance funds,"1,004,281.59","1,281,502.24"
2011-12,NT,Hospitals,Public hospital services,Non-government,Individuals,"5,519,142.45","7,042,639.72"
2011-12,NT,Hospitals,Public hospital services,Non-government,Other source of funds,"2,174,366.80","3,496,464.89"
2011-12,NT,Hospitals,Public hospital services,State and local government,State and local government,"453,594,663.65","578,493,986.79"
2011-12,NT,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"16,130,898.32","20,921,065.87"
2011-12,NT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-16,130,898.32","-20,921,065.87"
2011-12,NT,Other services,Administration,Australian Government,DoHAC and other,"17,397,244.68","22,425,713.26"
2011-12,NT,Other services,Administration,Australian Government,Premium rebates,"2,538,551.05","3,292,389.10"
2011-12,NT,Other services,Administration,Non-government,Health insurance funds,"4,938,186.71","6,404,611.04"
2011-12,NT,Other services,Administration,State and local government,State and local government,0.00,0.00
2011-12,NT,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,0.00,0.00
2011-12,NT,Other services,Aids and appliances,Australian Government,DoHAC and other,"3,413,513.26","4,347,747.82"
2011-12,NT,Other services,Aids and appliances,Australian Government,Premium rebates,"1,796,199.42","2,057,794.08"
2011-12,NT,Other services,Aids and appliances,Non-government,Health insurance funds,"3,494,106.64","4,002,980.89"
2011-12,NT,Other services,Aids and appliances,Non-government,Individuals,"16,078,867.30","18,420,559.29"
2011-12,NT,Other services,Aids and appliances,Non-government,Other source of funds,"1,081,486.52","1,238,991.92"
2011-12,NT,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,0.00,0.00
2011-12,NT,Other services,Patient transport services,Australian Government,DoHAC and other,"10,703,901.46","13,658,593.20"
2011-12,NT,Other services,Patient transport services,Australian Government,Premium rebates,"237,295.44","302,798.18"
2011-12,NT,Other services,Patient transport services,Non-government,Health insurance funds,"461,605.52","589,026.54"
2011-12,NT,Other services,Patient transport services,Non-government,Individuals,0.00,0.00
2011-12,NT,Other services,Patient transport services,Non-government,Other source of funds,"810,169.38","1,033,807.53"
2011-12,NT,Other services,Patient transport services,State and local government,State and local government,"58,177,604.32","74,236,878.35"
2011-12,NT,Primary health care,All other medications,Australian Government,DoHAC and other,"9,926,547.14","11,736,670.35"
2011-12,NT,Primary health care,All other medications,Australian Government,Premium rebates,"96,080.00","105,211.28"
2011-12,NT,Primary health care,All other medications,Non-government,Health insurance funds,"186,902.28","204,665.16"
2011-12,NT,Primary health care,All other medications,Non-government,Individuals,"32,928,297.62","36,057,747.75"
2011-12,NT,Primary health care,All other medications,Non-government,Other source of funds,"398,731.50","436,626.28"
2011-12,NT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"767,212.91","890,828.25"
2011-12,NT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"52,279,408.88","60,844,829.68"
2011-12,NT,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"7,490,710.55","8,697,633.33"
2011-12,NT,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,0.00,0.00
2011-12,NT,Primary health care,Community health and other,Australian Government,DoHAC and other,"198,507,198.29","253,195,665.37"
2011-12,NT,Primary health care,Community health and other,Australian Government,Premium rebates,"1,338.58","1,736.08"
2011-12,NT,Primary health care,Community health and other,Non-government,Health insurance funds,"2,603.92","3,377.17"
2011-12,NT,Primary health care,Community health and other,Non-government,Individuals,"374,254.34","477,563.05"
2011-12,NT,Primary health care,Community health and other,Non-government,Other source of funds,"1,000,745.14","1,277,279.69"
2011-12,NT,Primary health care,Community health and other,State and local government,State and local government,"281,879,418.90","359,819,887.34"
2011-12,NT,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"277,234.06","310,393.64"
2011-12,NT,Primary health care,Dental services,Australian Government,DoHAC and other,"1,685,353.12","2,045,275.32"
2011-12,NT,Primary health care,Dental services,Australian Government,Premium rebates,"3,603,697.37","4,034,730.56"
2011-12,NT,Primary health care,Dental services,Non-government,Health insurance funds,"7,010,192.07","7,848,671.31"
2011-12,NT,Primary health care,Dental services,Non-government,Individuals,"65,183,051.18","72,979,556.09"
2011-12,NT,Primary health care,Dental services,Non-government,Other source of funds,"69,224.86","80,652.43"
2011-12,NT,Primary health care,Dental services,State and local government,State and local government,"11,544,882.40","13,842,779.61"
2011-12,NT,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"517,866.33","692,973.21"
2011-12,NT,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"5,672,154.35","7,480,834.13"
2011-12,NT,Primary health care,Other health practitioners,Australian Government,Premium rebates,"1,639,810.40","2,194,281.85"
2011-12,NT,Primary health care,Other health practitioners,Non-government,Health insurance funds,"3,189,886.59","4,268,487.51"
2011-12,NT,Primary health care,Other health practitioners,Non-government,Individuals,"25,478,626.87","34,093,751.49"
2011-12,NT,Primary health care,Other health practitioners,Non-government,Other source of funds,"7,180,629.03","9,608,625.41"
2011-12,NT,Primary health care,Other health practitioners,State and local government,State and local government,"6,309,481.11","8,051,142.48"
2011-12,NT,Primary health care,Public health,Australian Government,DoHAC and other,"35,623,663.91","45,457,176.09"
2011-12,NT,Primary health care,Public health,Non-government,Individuals,-213.84,-272.87
2011-12,NT,Primary health care,Public health,Non-government,Other source of funds,"85,011.04","108,477.39"
2011-12,NT,Primary health care,Public health,State and local government,State and local government,"80,313,302.62","102,743,679.95"
2011-12,NT,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"477,483.86","517,428.44"
2011-12,NT,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"87,713,830.04","104,822,817.57"
2011-12,NT,Primary health care,Unreferred medical services,Non-government,Individuals,"7,218,939.60","7,822,849.95"
2011-12,NT,Primary health care,Unreferred medical services,Non-government,Other source of funds,"13,685,556.60","14,830,440.72"
2011-12,NT,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"2,581,415.09","2,797,366.93"
2011-12,NT,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"51,040,912.24","55,310,810.18"
2011-12,NT,Referred medical services,Referred medical services,Australian Government,Premium rebates,"2,285,656.64","2,476,866.39"
2011-12,NT,Referred medical services,Referred medical services,Non-government,Health insurance funds,"4,446,236.84","4,818,192.92"
2011-12,NT,Referred medical services,Referred medical services,Non-government,Individuals,"11,779,234.92","12,764,643.08"
2011-12,NT,Research,Research,Australian Government,DoHAC and other,"79,703,406.71","103,355,691.49"
2011-12,NT,Research,Research,Non-government,Individuals,-14.80,-18.88
2011-12,NT,Research,Research,Non-government,Other source of funds,"1,731,218.33","2,244,240.56"
2011-12,NT,Research,Research,State and local government,State and local government,"29,420,746.08","37,957,115.10"
2011-12,Qld,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"37,222,073.98","40,821,518.77"
2011-12,Qld,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"542,611,032.10","701,914,467.05"
2011-12,Qld,Capital expenditure,Capital expenditure,State and local government,State and local government,"1,853,000,000.00","2,197,885,564.25"
2011-12,Qld,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"310,235,118.10","394,017,334.04"
2011-12,Qld,Hospitals,Private hospitals,Australian Government,DoHAC and other,"62,232,336.64","79,018,004.26"
2011-12,Qld,Hospitals,Private hospitals,Australian Government,Premium rebates,"600,390,974.06","762,532,792.64"
2011-12,Qld,Hospitals,Private hospitals,Non-government,Health insurance funds,"1,167,979,285.78","1,483,404,223.27"
2011-12,Qld,Hospitals,Private hospitals,Non-government,Individuals,"290,739,302.63","369,277,222.11"
2011-12,Qld,Hospitals,Private hospitals,Non-government,Other source of funds,"158,514,619.49","201,323,138.92"
2011-12,Qld,Hospitals,Private hospitals,State and local government,State and local government,"27,502,999.99","34,930,470.80"
2011-12,Qld,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"110,191,291.70","139,949,594.54"
2011-12,Qld,Hospitals,Public hospital services,Australian Government,DoHAC and other,"2,967,433,233.82","3,768,609,292.29"
2011-12,Qld,Hospitals,Public hospital services,Australian Government,Premium rebates,"34,350,678.81","43,627,436.41"
2011-12,Qld,Hospitals,Public hospital services,Non-government,Health insurance funds,"66,824,591.04","84,871,265.93"
2011-12,Qld,Hospitals,Public hospital services,Non-government,Individuals,"440,253,118.97","559,148,046.49"
2011-12,Qld,Hospitals,Public hospital services,Non-government,Other source of funds,"256,109,600.38","325,274,658.08"
2011-12,Qld,Hospitals,Public hospital services,State and local government,State and local government,"4,206,908,342.89","5,341,255,570.51"
2011-12,Qld,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"99,299,084.00","128,996,621.70"
2011-12,Qld,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-99,299,084.00","-128,996,621.70"
2011-12,Qld,Other services,Administration,Australian Government,DoHAC and other,"321,720,300.39","414,479,442.74"
2011-12,Qld,Other services,Administration,Australian Government,Premium rebates,"110,015,454.94","142,917,955.03"
2011-12,Qld,Other services,Administration,Non-government,Health insurance funds,"214,010,609.26","278,015,108.40"
2011-12,Qld,Other services,Administration,State and local government,State and local government,"186,070,939.54","236,335,184.19"
2011-12,Qld,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"408,795.02","468,331.06"
2011-12,Qld,Other services,Aids and appliances,Australian Government,DoHAC and other,"83,780,164.82","106,392,903.99"
